Id,CAS,SMILES,Status,Experimental value [log(L/kg)],Predicted value [log(L/kg)],GNN_status
800,108-62-3,O1C(OC(OC(OC1C)C)C)C,Training,1.041,0.0957943,Valid
801,125116-23-6,OC3(Cn1ncnc1)(C(Cc2ccc(cc2)Cl)CCC3(C)(C)),Training,2.111,1.8030252,Train
802,2032-65-7,O=C(Oc1cc(c(c(c1)C)SC)C)NC,Training,1.875,0.7296864,Train
803,161050-58-4,O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2cccc(OC)c2C,Training,1.041,1.1853229,Test
804,220899-03-6,O=C(c1c(OC)c(OC)c(OC)cc1C)c2c(OC)ccc(c2C)Br,Training,2.724,2.111911,Train
805,2212-67-1,O=C(N1CCCCCC1)SCC,Training,1.857,1.319464,Train
806,15299-99-7,O=C(N(CC)CC)C(Oc1cccc2ccccc12)C,Training,1.991,1.9872336,Test
807,27314-13-2,O=C1C(=C(C=NN1c2cccc(c2)C(F)(F)F)NC)Cl,Training,1.447,1.4742167,Train
808,116714-46-6,O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(OC(F)(F)C(F)OC(F)(F)F)c(c2)Cl,Training,3.32,2.3127584,Train
809,122-32-7,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)CCCCCCCC=CCCCCCCCC,Training,2.537,1.1515547,Train
810,39807-15-3,O=C1OC(=NN1c2cc(OCC#C)c(cc2Cl)Cl)C(C)(C)C,Training,2.818,1.8773813,Train
811,42874-03-3,O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC),Training,3.214,2.0432692,Train
812,76738-62-0,OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C,Training,1.643,1.8727887,Test
813,66063-05-6,O=C(Nc1ccccc1)N(Cc2ccc(cc2)Cl)C3CCCC3,Training,2.354,2.4861057,Train
814,40487-42-1,O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C,Training,3.708,3.4020233,Test
815,13684-63-4,O=C(Oc1cccc(c1)NC(=O)OC)Nc2cccc(c2)C,Training,2.217,2.2541692,Train
816,298-02-2,O(CC)P(OCC)(=S)SCSCC,Training,2.684,0.8895126,Train
817,2310-17-0,O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl,Training,2.255,1.751688,Test
818,137641-05-5,O=C(Nc1ccc(F)cc1)c3nc(Oc2cccc(c2)C(F)(F)F)ccc3,Training,2.763,2.3573852,Valid
819,117428-22-5,O=C(OC)C(=COC)c1ccccc1COc2nc(ccc2)C(F)(F)F,Training,2.462,1.9235649,Train
820,23103-98-2,O=C(Oc1nc(nc(c1C)C)N(C)C)N(C)C,Training,1.38,1.5169381,Test
821,1918-16-7,O=C(N(c1ccccc1)C(C)C)CCl,Training,1.568,0.79914737,Train
822,24579-73-5,O=C(OCCC)NCCCN(C)C,Training,1.732,0.38381746,Train
823,709-98-8,O=C(Nc1ccc(c(c1)Cl)Cl)CC,Training,2.045,0.9568216,Train
824,111479-05-1,O=C(OCCON=C(C)C)C(Oc3ccc(Oc1nc2ccc(cc2(nc1))Cl)cc3)C,Training,2.766,1.4589387,Train
825,2312-35-8,O=S(OCC#C)OC2CCCCC2(Oc1ccc(cc1)C(C)(C)C),Training,4.145,1.9593934,Train
826,189278-12-4,O=C1c2cc(ccc2(N=C(OCCC)N1CCC))I,Training,2.914,1.3297619,Train
827,52888-80-9,O=C(N(CCC)CCC)SCc1ccccc1,Training,2.845,1.1496035,Train
828,94125-34-5,O=C(Nc1nc(nc(n1)C)OC)NS(=O)(=O)c2ccccc2CCC(F)(F)F,Training,-0.886,0.050153885,Train
829,175013-18-0,O=C(OC)N(OC)c1ccccc1COc2nn(cc2)c3ccc(cc3)Cl,Training,2.849,2.4103346,Train
830,129630-19-9,O=C(OCC)COc1cc(c(F)cc1Cl)c2nn(c(OC(F)F)c2Cl)C,Training,0.38,1.7134051,Train
831,96489-71-3,O=C1C(=C(C=NN1C(C)(C)C)SCc2ccc(cc2)C(C)(C)C)Cl,Training,1.681,1.312566,Test
832,55512-33-9,O=C(Oc1cc(nnc1c2ccccc2)Cl)SCCCCCCCC,Training,2.064,2.2152395,Train
833,124495-18-7,Fc3ccc(Oc2ccnc1cc(cc(c12)Cl)Cl)cc3,Training,3.702,3.5154574,Train
834,119738-06-6,O=C(OCC1OCCC1)C(Oc4ccc(Oc2nc3ccc(cc3(nc2))Cl)cc4)C,Training,2.531,1.5896468,Train
835,175217-20-6,O=C(NCC=C)c1c(c(C)sc1[Si](C)(C)C)C,Training,1.991,1.7840153,Valid
836,148477-71-8,O=C1OC3(C(OC(=O)C(C)(C)CC)=C1c2cc(cc(c2)Cl)Cl)(CCCCC3),Training,0.146,2.6285148,Train
837,283594-90-1,O=C1OC3(C(OC(=O)CC(C)(C)C)=C1c2c(cc(cc2C)C)C)(CCCC3),Training,2.736,1.3627408,Train
838,112410-23-8,O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC,Training,1.845,1.2053593,Train
839,34014-18-1,O=C(NC)N(c1nnc(C(C)(C)C)s1)C,Training,0.415,0.81442136,Train
840,112281-77-3,FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2,Training,1.553,1.8464912,Test
841,148-79-8,n1cscc1c2nc3ccccc3([nH]2),Training,1.985,0.71710837,Test
842,59669-26-0,O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C,Training,0.799,0.301,Test
843,57018-04-9,O(c1c(cc(cc1Cl)C)Cl)P(OC)(OC)=S,Training,2.826,1.1938013,Train
844,731-27-1,O=S(=O)(N(c1ccc(cc1)C)SC(F)(Cl)Cl)N(C)C,Training,1.869,1.2976896,Train
845,87820-88-0,O=C2C(C(=O)CC(c1c(cc(cc1C)C)C)C2)=C(NOCC)CC,Training,1.505,1.57104,Train
846,66841-25-6,N#CC(OC(=O)C1C(C(C(Br)(Br)Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,3.079,2.92845,Train
847,55219-65-3,OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C,Training,1.322,1.9339948,Train
848,2303-17-5,O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl,Training,3.146,1.8416888,Test
849,78-48-8,O=P(SCCCC)(SCCCC)SCCCC,Training,3.484,2.4616287,Train
850,141517-21-7,O=C(OC)C(=NOC)c1ccccc1CON=C(c2cccc(c2)C(F)(F)F)C,Training,2.634,2.3070815,Train
851,64628-44-0,O=C(NC(=O)c1ccccc1Cl)Nc2ccc(OC(F)(F)F)cc2,Training,2.787,2.6741092,Train
852,52315-07-8,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,2.551,3.0371912,Test
853,156052-68-5,O=C(NC(C(=O)CCl)(C)CC)c1cc(c(c(c1)Cl)C)Cl,Training,2.061,1.9149675,Test
854,210631-68-8,O=C(c1cnn(c1(O))C)c3ccc(c(C2=NOCC2)c3C)S(=O)(=O)C,Training,-0.523,1.5379602,Train
855,72619-32-0,O=C(OC)C(Oc2ccc(Oc1ncc(cc1Cl)C(F)(F)F)cc2)C,Training,1.23,1.5250835,Train
856,90-43-7,Oc1ccccc1c2ccccc2,Training,1.336,1.9815818,Test
857,65733-16-6,O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C,Training,2.66,2.070876,Train
858,120068-37-3,N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl,Training,2.507,1.9693639,Train
859,102851-06-9,N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c3cccc(Oc2ccccc2)c3,Training,2.301,3.0684736,Test
860,83121-18-0,O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(F)c(c2(F))Cl)Cl,Training,2.806,2.657704,Train
